sqlite> select * from domain where sourceid=2 and id<2648365;
Id;Name;Level;sourceid;CategoryName;CatId;Cat2Id;Cat3Id;Invariance;Pcountry
2644992;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2644993;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2644994;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2644995;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2644996;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2644997;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2644998;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2644999;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645000;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645001;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645002;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645003;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645004;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645005;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645006;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645007;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645008;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645009;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645010;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645011;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645012;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645013;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645014;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645015;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645016;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645017;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645018;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645019;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645020;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645021;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645022;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645023;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645024;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645025;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645026;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645027;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645028;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645029;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645030;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645031;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645032;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645033;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645034;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645035;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645036;telegraph.newsprints.co.uk;4;2;News;21;;;5;
2645037;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
2645038;menshealth.co.uk.global.prod.fastly.net;7;2;Sports;44;;;5;
2645039;code.jquery.netdna-cdn.com;4;2;Computer;13;;;5;
